nom;annee
Dove Attia;1956-11-30
Cécilia Attias;1957-11-12
Jean-Louis Aubert;1955-04-12
Lucie Aubrac;1912-06-29
Isabelle Aubret;1938-07-27
Martine Aubry;1950-08-08
Michel Auclair;1922-09-14
Cécile Auclert;1965-05-30
Michel Audiard;1920-05-15
Christian Audigier;1958-05-21
B-Real;1970-06-02
Babar;1931-12-15
Lauren Bacall;1924-09-16
Morena Baccarin;1979-06-02
Jean-Sébastien Bach;1685-03-31
Pierre Bachelet;1944-05-25
Michelle Bachelet;1951-09-29
Roselyne Bachelot;1946-12-24
François Bachy;1960-03-06
Kevin Bacon;1958-07-08
Jean-Pierre Bacri;1951-05-24
Ali Baddou;1974-02-28
Chimène Badi;1982-10-30
Laurence Badie;1934-06-15
Robert Badinter;1928-03-30
Élisabeth Badinter;1944-03-05
Rachid Badouri;1976-10-16
Edouard Baer;1966-12-01
Joan Baez;1941-01-09
Laurent Baffie;1958-04-18
Eion Bailey;1976-06-08
Corinne Bailey Rae;1979-02-26
Joséphine Baker;1906-06-03
Kathy Baker;1950-06-08
Simon Baker;1969-07-30
Scott Bakula;1954-10-09
Josiane Balasko;1950-04-15
Daniel Balavoine;1952-02-05
Alec Baldwin;1958-04-03
Adam Baldwin;1962-02-27
Stephen Baldwin;1966-05-12
Daniel Baldwin;1960-10-05
William Baldwin;1963-02-21
Christian Bale;1974-01-30
Jeanne Balibar;1968-04-13
Céline Balitran;1974-10-31
Fairuza Balk;1974-05-21
Patrick Balkany;1948-08-16
Édouard Balladur;1929-05-02
Pierre Balmain;1914-05-18
Jean-François Balmer;1946-04-18
Martin Balsam;1919-11-04
Jacques Balutin;1936-06-29
Afrika Bambaataa;1957-04-17
Eric Bana;1968-08-09
Antonio Banderas;1960-08-10
Thomas Bangalter;1975-01-03
Tyra Banks;1973-12-04
Elizabeth Banks;1975-02-10
Jonathan Banks;1947-01-31
Barbapapa;1970-05-19
Barbara;1930-06-09
Didier Barbelivien;1954-03-10
Eunice Barber;1974-11-17
Klaus Barbie;1913-10-25
Christophe Barbier;1967-01-25
Eddie Barclay;1921-01-26
Javier Bardem;1969-03-01
Brigitte Bardot;1934-09-28
Sophie Barjac;1957-03-24
René Barjavel;1911-01-24
Frigide Barjot;1962-09-25
Catherine Barma;1945-10-26
